,date,MCD stock,isPartial
23,2014-03-24,8.0,False
24,2014-03-25,21.12,False
25,2014-03-26,32.0,False
26,2014-03-27,13.44,False
27,2014-03-28,19.52,False
28,2014-03-29,6.4,False
29,2014-03-30,6.4,False
30,2014-03-31,26.560000000000002,False
0,2014-04-01,16.82,False
1,2014-04-02,9.569999999999999,False
2,2014-04-03,16.82,False
3,2014-04-04,22.619999999999997,False
4,2014-04-05,5.8,False
5,2014-04-06,5.8,False
6,2014-04-07,14.209999999999999,False
7,2014-04-08,19.43,False
8,2014-04-09,4.93,False
9,2014-04-10,19.72,False
10,2014-04-11,13.049999999999999,False
11,2014-04-12,5.8,False
12,2014-04-13,5.8,False
13,2014-04-14,14.79,False
14,2014-04-15,17.11,False
15,2014-04-16,12.469999999999999,False
16,2014-04-17,10.44,False
17,2014-04-18,8.41,False
18,2014-04-19,6.09,False
19,2014-04-20,9.28,False
20,2014-04-21,13.34,False
21,2014-04-22,28.999999999999996,False
22,2014-04-23,24.36,False
23,2014-04-24,9.86,False
24,2014-04-25,23.2,False
25,2014-04-26,11.6,False
26,2014-04-27,0.0,False
27,2014-04-28,9.569999999999999,False
28,2014-04-29,9.569999999999999,False
29,2014-04-30,17.4,False
0,2014-05-01,24.05,False
1,2014-05-02,6.29,False
2,2014-05-03,7.03,False
3,2014-05-04,7.03,False
4,2014-05-05,19.98,False
5,2014-05-06,8.879999999999999,False
6,2014-05-07,15.54,False
7,2014-05-08,25.9,False
8,2014-05-09,24.79,False
9,2014-05-10,11.84,False
10,2014-05-11,11.47,False
11,2014-05-12,34.78,False
12,2014-05-13,17.39,False
13,2014-05-14,11.84,False
14,2014-05-15,27.75,False
15,2014-05-16,24.419999999999998,False
16,2014-05-17,17.02,False
17,2014-05-18,7.03,False
18,2014-05-19,15.91,False
19,2014-05-20,17.759999999999998,False
20,2014-05-21,12.95,False
21,2014-05-22,37.0,False
22,2014-05-23,20.35,False
23,2014-05-24,10.73,False
24,2014-05-25,15.91,False
25,2014-05-26,6.66,False
