,date,MAT stock,isPartial
14,2013-12-15,11.52,False
15,2013-12-16,9.6,False
16,2013-12-17,14.639999999999999,False
17,2013-12-18,9.6,False
18,2013-12-19,10.08,False
19,2013-12-20,10.559999999999999,False
20,2013-12-21,11.76,False
21,2013-12-22,24.0,False
22,2013-12-23,10.799999999999999,False
23,2013-12-24,11.76,False
24,2013-12-25,12.959999999999999,False
25,2013-12-26,11.04,False
26,2013-12-27,10.559999999999999,False
27,2013-12-28,15.6,False
28,2013-12-29,11.52,False
29,2013-12-30,10.32,False
30,2013-12-31,11.52,False
0,2014-01-01,16.8,False
1,2014-01-02,20.4,False
2,2014-01-03,13.5,False
3,2014-01-04,15.0,False
4,2014-01-05,29.7,False
5,2014-01-06,19.5,False
6,2014-01-07,25.5,False
7,2014-01-08,12.6,False
8,2014-01-09,25.5,False
9,2014-01-10,13.2,False
10,2014-01-11,15.0,False
11,2014-01-12,0.0,False
12,2014-01-13,16.8,False
13,2014-01-14,25.2,False
14,2014-01-15,12.6,False
15,2014-01-16,25.5,False
16,2014-01-17,21.9,False
17,2014-01-18,15.0,False
18,2014-01-19,14.7,False
19,2014-01-20,12.6,False
20,2014-01-21,24.9,False
21,2014-01-22,24.599999999999998,False
22,2014-01-23,18.9,False
23,2014-01-24,12.9,False
24,2014-01-25,30.0,False
25,2014-01-26,14.7,False
26,2014-01-27,12.299999999999999,False
27,2014-01-28,12.299999999999999,False
28,2014-01-29,20.7,False
29,2014-01-30,25.5,False
30,2014-01-31,26.099999999999998,False
0,2014-02-01,17.92,False
1,2014-02-02,11.760000000000002,False
2,2014-02-03,10.080000000000002,False
3,2014-02-04,13.440000000000001,False
4,2014-02-05,10.080000000000002,False
5,2014-02-06,28.000000000000004,False
6,2014-02-07,23.240000000000002,False
7,2014-02-08,12.040000000000001,False
8,2014-02-09,11.760000000000002,False
9,2014-02-10,10.080000000000002,False
10,2014-02-11,20.160000000000004,False
11,2014-02-12,0.0,False
12,2014-02-13,15.120000000000001,False
13,2014-02-14,0.0,False
14,2014-02-15,12.040000000000001,False
15,2014-02-16,11.760000000000002,False
16,2014-02-17,20.44,False
17,2014-02-18,20.160000000000004,False
18,2014-02-19,10.360000000000001,False
19,2014-02-20,20.720000000000002,False
20,2014-02-21,21.28,False
21,2014-02-22,23.520000000000003,False
22,2014-02-23,19.880000000000003,False
23,2014-02-24,20.160000000000004,False
24,2014-02-25,0.0,False
25,2014-02-26,15.120000000000001,False
26,2014-02-27,25.480000000000004,False
27,2014-02-28,14.280000000000001,False
0,2014-03-01,15.19,False
1,2014-03-02,8.99,False
2,2014-03-03,22.94,False
3,2014-03-04,23.25,False
4,2014-03-05,31.0,False
5,2014-03-06,7.75,False
6,2014-03-07,0.0,False
7,2014-03-08,8.99,False
8,2014-03-09,8.99,False
9,2014-03-10,15.5,False
10,2014-03-11,7.75,False
11,2014-03-12,7.75,False
12,2014-03-13,11.78,False
13,2014-03-14,8.06,False
14,2014-03-15,13.64,False
15,2014-03-16,0.0,False
16,2014-03-17,15.5,False
17,2014-03-18,7.75,False
18,2014-03-19,15.19,False
19,2014-03-20,10.23,False
20,2014-03-21,0.0,False
21,2014-03-22,17.98,False
22,2014-03-23,8.68,False
23,2014-03-24,15.19,False
24,2014-03-25,12.4,False
25,2014-03-26,30.38,False
26,2014-03-27,0.0,False
27,2014-03-28,8.06,False
28,2014-03-29,8.99,False
29,2014-03-30,8.99,False
30,2014-03-31,15.19,False
0,2014-04-01,22.08,False
1,2014-04-02,11.28,False
2,2014-04-03,11.28,False
3,2014-04-04,15.6,False
4,2014-04-05,11.76,False
5,2014-04-06,8.64,False
6,2014-04-07,11.04,False
7,2014-04-08,12.24,False
8,2014-04-09,22.32,False
9,2014-04-10,7.68,False
10,2014-04-11,15.84,False
11,2014-04-12,9.12,False
12,2014-04-13,8.879999999999999,False
13,2014-04-14,14.879999999999999,False
14,2014-04-15,15.12,False
15,2014-04-16,15.36,False
16,2014-04-17,24.0,False
17,2014-04-18,8.64,False
18,2014-04-19,9.36,False
19,2014-04-20,0.0,False
20,2014-04-21,0.0,False
21,2014-04-22,7.4399999999999995,False
22,2014-04-23,7.4399999999999995,False
23,2014-04-24,22.8,False
24,2014-04-25,7.92,False
25,2014-04-26,0.0,False
26,2014-04-27,8.64,False
27,2014-04-28,7.4399999999999995,False
28,2014-04-29,0.0,False
29,2014-04-30,7.68,False
0,2014-05-01,17.360000000000003,False
1,2014-05-02,11.200000000000001,False
2,2014-05-03,16.520000000000003,False
3,2014-05-04,24.360000000000003,False
4,2014-05-05,0.0,False
5,2014-05-06,0.0,False
6,2014-05-07,20.720000000000002,False
7,2014-05-08,0.0,False
8,2014-05-09,10.920000000000002,False
9,2014-05-10,12.32,False
10,2014-05-11,12.32,False
11,2014-05-12,15.120000000000001,False
12,2014-05-13,10.080000000000002,False
13,2014-05-14,26.040000000000003,False
14,2014-05-15,21.000000000000004,False
15,2014-05-16,10.920000000000002,False
16,2014-05-17,12.600000000000001,False
17,2014-05-18,12.600000000000001,False
18,2014-05-19,26.040000000000003,False
19,2014-05-20,10.360000000000001,False
20,2014-05-21,11.200000000000001,False
21,2014-05-22,11.48,False
22,2014-05-23,12.040000000000001,False
23,2014-05-24,28.000000000000004,False
24,2014-05-25,14.000000000000002,False
