,date,DIS stock,isPartial
0,2014-02-01,1.84,False
1,2014-02-02,1.84,False
2,2014-02-03,7.590000000000001,False
3,2014-02-04,9.200000000000001,False
4,2014-02-05,7.590000000000001,False
5,2014-02-06,23.0,False
6,2014-02-07,6.9,False
7,2014-02-08,1.84,False
8,2014-02-09,0.0,False
9,2014-02-10,7.590000000000001,False
10,2014-02-11,8.97,False
11,2014-02-12,5.98,False
12,2014-02-13,7.590000000000001,False
13,2014-02-14,7.82,False
14,2014-02-15,5.5200000000000005,False
15,2014-02-16,1.84,False
16,2014-02-17,7.82,False
17,2014-02-18,5.98,False
18,2014-02-19,2.99,False
19,2014-02-20,7.82,False
20,2014-02-21,4.83,False
21,2014-02-22,5.29,False
22,2014-02-23,0.0,False
23,2014-02-24,10.58,False
24,2014-02-25,9.200000000000001,False
25,2014-02-26,7.590000000000001,False
26,2014-02-27,7.590000000000001,False
27,2014-02-28,9.66,False
0,2014-03-01,0.0,False
1,2014-03-02,8.8,False
2,2014-03-03,11.88,False
3,2014-03-04,22.0,False
4,2014-03-05,14.08,False
5,2014-03-06,20.68,False
6,2014-03-07,19.36,False
7,2014-03-08,3.74,False
8,2014-03-09,2.42,False
9,2014-03-10,17.38,False
10,2014-03-11,11.88,False
11,2014-03-12,12.98,False
12,2014-03-13,9.68,False
13,2014-03-14,15.84,False
14,2014-03-15,5.06,False
15,2014-03-16,2.42,False
16,2014-03-17,15.18,False
17,2014-03-18,9.68,False
18,2014-03-19,11.88,False
19,2014-03-20,10.78,False
20,2014-03-21,14.74,False
21,2014-03-22,2.64,False
22,2014-03-23,2.42,False
23,2014-03-24,6.38,False
24,2014-03-25,12.540000000000001,False
25,2014-03-26,5.28,False
26,2014-03-27,10.78,False
27,2014-03-28,14.52,False
28,2014-03-29,5.06,False
29,2014-03-30,2.64,False
30,2014-03-31,11.88,False
0,2014-04-01,8.4,False
1,2014-04-02,11.129999999999999,False
2,2014-04-03,16.8,False
3,2014-04-04,14.49,False
4,2014-04-05,6.72,False
5,2014-04-06,3.15,False
6,2014-04-07,16.38,False
7,2014-04-08,6.93,False
8,2014-04-09,6.93,False
9,2014-04-10,19.95,False
10,2014-04-11,16.38,False
11,2014-04-12,3.36,False
12,2014-04-13,3.36,False
13,2014-04-14,11.34,False
14,2014-04-15,21.0,False
15,2014-04-16,18.689999999999998,False
16,2014-04-17,18.06,False
17,2014-04-18,12.809999999999999,False
18,2014-04-19,5.25,False
19,2014-04-20,3.57,False
20,2014-04-21,9.03,False
21,2014-04-22,5.46,False
22,2014-04-23,8.4,False
23,2014-04-24,17.009999999999998,False
24,2014-04-25,19.32,False
25,2014-04-26,6.72,False
26,2014-04-27,3.15,False
27,2014-04-28,13.86,False
28,2014-04-29,11.129999999999999,False
29,2014-04-30,17.009999999999998,False
0,2014-05-01,4.6000000000000005,False
1,2014-05-02,6.9,False
2,2014-05-03,5.0600000000000005,False
3,2014-05-04,5.0600000000000005,False
4,2014-05-05,15.180000000000001,False
5,2014-05-06,19.32,False
6,2014-05-07,10.58,False
7,2014-05-08,12.88,False
8,2014-05-09,13.57,False
9,2014-05-10,0.0,False
