,date,GS stock,isPartial
1,2014-03-02,4.930000000000001,False
2,2014-03-03,8.67,False
3,2014-03-04,13.090000000000002,False
4,2014-03-05,13.090000000000002,False
5,2014-03-06,10.030000000000001,False
6,2014-03-07,6.12,False
7,2014-03-08,5.1000000000000005,False
8,2014-03-09,7.65,False
9,2014-03-10,14.280000000000001,False
10,2014-03-11,11.39,False
11,2014-03-12,10.030000000000001,False
12,2014-03-13,12.920000000000002,False
13,2014-03-14,4.590000000000001,False
14,2014-03-15,5.1000000000000005,False
15,2014-03-16,10.030000000000001,False
16,2014-03-17,12.920000000000002,False
17,2014-03-18,12.750000000000002,False
18,2014-03-19,8.5,False
19,2014-03-20,8.67,False
20,2014-03-21,6.800000000000001,False
21,2014-03-22,10.200000000000001,False
22,2014-03-23,4.930000000000001,False
23,2014-03-24,6.970000000000001,False
24,2014-03-25,8.33,False
25,2014-03-26,17.0,False
26,2014-03-27,8.67,False
27,2014-03-28,5.95,False
28,2014-03-29,5.1000000000000005,False
29,2014-03-30,5.1000000000000005,False
30,2014-03-31,9.860000000000001,False
0,2014-04-01,5.58,False
1,2014-04-02,8.459999999999999,False
2,2014-04-03,5.58,False
3,2014-04-04,7.199999999999999,False
4,2014-04-05,0.0,False
5,2014-04-06,4.859999999999999,False
6,2014-04-07,0.0,False
7,2014-04-08,9.719999999999999,False
8,2014-04-09,9.719999999999999,False
9,2014-04-10,2.88,False
10,2014-04-11,3.06,False
11,2014-04-12,3.42,False
12,2014-04-13,6.66,False
13,2014-04-14,8.459999999999999,False
14,2014-04-15,9.719999999999999,False
15,2014-04-16,8.64,False
16,2014-04-17,18.0,False
17,2014-04-18,6.4799999999999995,False
18,2014-04-19,7.02,False
19,2014-04-20,3.5999999999999996,False
20,2014-04-21,4.5,False
21,2014-04-22,2.6999999999999997,False
22,2014-04-23,5.58,False
23,2014-04-24,5.58,False
24,2014-04-25,5.9399999999999995,False
25,2014-04-26,0.0,False
26,2014-04-27,3.2399999999999998,False
27,2014-04-28,2.6999999999999997,False
28,2014-04-29,4.14,False
29,2014-04-30,5.58,False
0,2014-05-01,7.840000000000001,False
1,2014-05-02,7.700000000000001,False
2,2014-05-03,0.0,False
3,2014-05-04,0.0,False
4,2014-05-05,3.5000000000000004,False
5,2014-05-06,0.0,False
6,2014-05-07,3.5000000000000004,False
7,2014-05-08,8.260000000000002,False
8,2014-05-09,9.24,False
9,2014-05-10,4.2,False
10,2014-05-11,4.0600000000000005,False
11,2014-05-12,5.74,False
12,2014-05-13,4.62,False
13,2014-05-14,8.82,False
14,2014-05-15,8.82,False
15,2014-05-16,7.280000000000001,False
16,2014-05-17,4.340000000000001,False
17,2014-05-18,0.0,False
18,2014-05-19,5.880000000000001,False
